documentid,property,value
1014150,逾期付款利息,191729.26
1014150,利息,6636910.96
1014150,利息,1531104
1016447,案件受理费,54407
1016447,案件受理费,27203.50
1017907,工程价款,347624
1017907,利息损失,347624
1017907,案件受理费,4208
1017907,司法审价费,44400
1017907,司法审价费,48608
1018679,违约金,4129288.40
1018679,案件受理费,119200
1018679,案件受理费,90592
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,残疾赔偿金,484632.55
1019967,残疾赔偿金,96926.51
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,律师费,25000
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,残疾赔偿金,484632.55
1019967,残疾赔偿金,96926.51
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,律师费,25000
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,残疾赔偿金,484632.55
1019967,残疾赔偿金,193853.02
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,律师费,25000
1020864,股权转让金,49000000
1020864,利息,0.5
1020864,利息,23.67625
1020864,利息,6000000
1021331,利息,2000000
1021331,利息,3000000
1021331,案件受理费,81800
1021741,医疗费,11750.20
1021741,误工费,4045
1021741,营养费,900
1021741,护理费,210
1021741,交通费,300
1021741,营养费,900
1021741,律师费,3000
1021741,律师费,21105.20
1021741,律师费,12663.12
1043214,借款,3980
1045058,伙食补助费,520
1045058,护理费,2362.70
1045058,停工留薪期工资,16921.56
1045058,伤残补助金,25382.34
1045058,工伤医疗补助金,22722
1045058,一次性伤残就业补助金,37870
1045058,鉴定费,280
1045381,违约金,246145
1045381,违约金,246145
1046402,借款,1000000
1046402,利息,50000
1049129,精神损害抚慰金,86455.97
1054151,货款,26913.59
1054151,货款,26913.59
1054151,货款,26913.59
1054151,案件受理费,5210
1055231,装修损失,715173
1055541,医疗费,739.10
1055541,误工费,8826.94
1055541,护理费,900
1055541,营养费,500
1055541,交通费,300
1055541,车辆损失,1200
1055541,衣物损失费,400
1055541,衣物损失费,12866.04
1057095,租金,30000
1057095,租金,15000
1057095,租金,900000
1058527,鉴定费,1600
1058527,医疗费,1181.82
1058527,医疗费,418.18
1058527,案件受理费,470
1058527,医疗费,9371.72
1058527,住院伙食补助费,510
1058527,护理费,2822.5
1058527,交通费,500
1058527,误工费,12278
1058527,误工费,25482.22
1058527,医疗费,9371.72
1058527,住院伙食补助费,510
1058527,护理费,2822.5
1058527,误工费,12278
1058563,案件受理费,300
1058563,案件受理费,150
1070597,死亡赔偿金,803760
1070597,死亡赔偿金,102816
1070597,丧葬费,25984
1070597,误工费,2000
1070597,精神损害抚慰金,50000
1070597,律师费,8000
1070597,律师费,992560
1070597,律师费,148884
1070597,死亡赔偿金,803760
1070597,死亡赔偿金,102816
1070597,丧葬费,25984
1070597,误工费,2000
1070597,精神损害抚慰金,50000
1070597,律师费,8000
1070597,律师费,992560
1070597,律师费,99256
1070597,案件受理费,22802
1070597,案件受理费,11401
1114108,医疗费,10000
1114108,误工费,10584
1114108,护理费,17288
1114108,交通费,200
1114108,医疗费,33757.2
1114108,医疗费,37508
1114108,住院伙食补助费,432
1114108,住院伙食补助费,480
1114108,鉴定费,2250
1114108,鉴定费,2500
1117765,违约金,120000
1121171,护理费,3469.25
1121171,交通费,252.10
1121171,伙食补助费,1140
1122979,医疗费,10000
1122979,精神损害抚慰金,50000
1122979,残疾赔偿金,60000
1122979,医疗费,20531.19
1122979,医疗费,41062.37
1122979,住院伙食补助费,105
1122979,住院伙食补助费,210
1122979,残疾赔偿金,47265
1122979,残疾赔偿金,94530
1122979,误工费,11190
1122979,误工费,22380
1122979,护理费,3480
1122979,护理费,6960
1122979,交通费,9199.05
1122979,交通费,18398.1
1122979,住宿费,6959
1122979,住宿费,13918
1122979,商业险,2277.65
1122979,鉴定费,1250
1122979,鉴定费,2500
1122979,医疗费,20531.19
1122979,医疗费,41062.37
1122979,住院伙食补助费,105
1122979,住院伙食补助费,210
1122979,残疾赔偿金,47265
1122979,残疾赔偿金,94530
1122979,误工费,11190
1122979,误工费,22380
1122979,护理费,3480
1122979,护理费,6960
1122979,交通费,9199.05
1122979,交通费,18398.1
1122979,住宿费,6959
1122979,住宿费,13918
1122979,鉴定费,1250
1122979,鉴定费,2500
1123245,丧葬费,20850
1126064,违约金,296000
1126064,违约金,10000
1127684,货款,2675188
1127684,货款,629600
1128090,货款,123620
1128090,律师费,14000
1137624,违约金,791420
1137634,货款,841200
1137634,违约金,50000
1137634,违约金,100000
1137634,违约金,182400
1137634,货款,841200
1138366,租金,4311.60
1138366,电费,14.89
1138366,电费,221.74
1138366,电费,11.62
1138366,律师费,1220
1138378,租金,4215
1138378,电费,0.9
1138378,电费,220.51
1138378,电费,11.55
1138378,律师费,1194
1142942,营养费,10000
1142942,交通费,95694
1142942,拖车费,1550
1142942,营养费,19444.34
1142942,营养费,10000
1142942,鉴定费,2250
1142960,营养费,10000
1142960,交通费,110000
1142960,交通费,2000
1142960,交通费,122000
1142960,交通费,33932.28
1142960,交通费,10554.08
1142960,鉴定费,1975
1143306,医疗费,195744.74
1143306,住院伙食补助费,4260
1143306,残疾赔偿金,801419.40
1143306,护理费,362284
1143306,营养费,7200
1143306,误工费,14560
1143306,精神损害抚慰金,45000
1143306,精神损害抚慰金,1430468.14
1143306,鉴定费,2300
1143887,租金,308997
1143887,违约金,8465
1143887,违约金,308997
1143893,租金,501000
1143893,违约金,86199
1143893,违约金,501000
1143905,租金,2340000
1143905,违约金,802981
1143905,违约金,3440000
1148512,机动车交通事故责任强制保险,588.5
1148800,违约金,1211991
1148850,借款,279100
1149193,交通费,107594
1149193,鉴定费,73914.28
1149193,诉讼费,1076
1149892,罚息,230421.86
1149892,律师费,16755
1149892,律师费,1247176.86
1149910,精神损害抚慰金,83338.27
1149916,律师费,24347
1149916,案件受理费,5715.20
1149934,衣物损失费,80390.46
1149964,误工费,110000
1149964,住院伙食补助费,10000
1149964,衣物损失费,200
1149964,衣物损失费,120200
1149964,误工费,1153.14
1149964,住院伙食补助费,25986.44
1149964,鉴定费,1200
1149964,鉴定费,28339.58
1150076,律师费,464585.36
1150076,律师费,185834.14
1150081,案件受理费,2364
1150091,补偿款,2000000
1150091,违约金,100000
1150091,案件受理费,24400
1150106,精神损害抚慰金,1000
1150106,律师费,23242.94
1150106,律师费,24242.94
