documentid,property,value
﻿1019967,医疗费,102804.55
﻿1019967,住院伙食补助费,420
﻿1019967,营养费,4800
﻿1019967,护理费,9440
﻿1019967,误工费,14560
﻿1019967,交通费,1000
﻿1019967,住宿费,800
﻿1019967,残疾赔偿金,350808
﻿1019967,残疾赔偿金,484632.55
﻿1019967,精神损害抚慰金,20000
﻿1019967,律师费,5000
﻿1019967,律师费,25000
﻿1019967,医疗费,102804.55
﻿1019967,住院伙食补助费,420
﻿1019967,营养费,4800
﻿1019967,护理费,9440
﻿1019967,误工费,14560
﻿1019967,交通费,1000
﻿1019967,住宿费,800
﻿1019967,残疾赔偿金,350808
﻿1019967,残疾赔偿金,484632.55
﻿1019967,精神损害抚慰金,20000
﻿1019967,律师费,5000
﻿1019967,律师费,25000
﻿1019967,医疗费,102804.55
﻿1019967,住院伙食补助费,420
﻿1019967,营养费,4800
﻿1019967,护理费,9440
﻿1019967,误工费,14560
﻿1019967,交通费,1000
﻿1019967,住宿费,800
﻿1019967,残疾赔偿金,350808
﻿1019967,残疾赔偿金,484632.55
﻿1019967,精神损害抚慰金,20000
﻿1019967,律师费,5000
﻿1019967,律师费,25000
1149916,律师费,24347
1149916,案件受理费,5715.20
1151784,房价款,283406.88
1151784,契税,20022
1151784,诉讼费,2900
1151789,医疗费,10000
1151789,精神损害抚慰金,110000
1151789,衣物损失费,570
1151789,医疗费,10000
1151789,交通费,45647.46
1151789,律师费,5900
1176480,借款,170993.65
1176480,利息,4907.16
1176480,罚息,33186.47
1176480,复利,1016.93
1176480,复利,210104.21
1207235,租金,19383.28
1207431,医疗费,7281.75
1207431,交通费,300
1207431,交通费,7581.75
1207431,医疗费,1013.09
1207431,医疗费,6568.66
1251290,透支款,4471.08
1251290,利息,1225.7
1251290,滞纳金,20.16
1280077,借款,1038000
1339519,借款,110000
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,营养费,5190.20
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,误工费,2390
1359284,衣物损失费,100
1359284,车辆损失费,977
1359284,车辆损失费,1077
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,营养费,5190.20
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,误工费,2390
1359284,衣物损失费,100
1359284,车辆损失费,977
1359284,车辆损失费,1077
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,车辆损失费,36.70
1359284,鉴定费,800
1359284,鉴定费,9493.90
1359284,律师费,1500
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,车辆损失费,36.70
1359284,鉴定费,800
1359284,鉴定费,9493.90
1359284,律师费,1500
1413175,借款,30000
1413175,借款,50000
1413175,利息,600
1413175,利息,50600
1413175,借款,50000
1413175,律师费,6500
1419457,补偿款,6182473
1419457,补偿款,1000000
1419457,补偿款,1000000
1433516,货款,624120.29
1433516,违约金,68697.24
1433516,违约金,624120.29
1441383,医疗费,62000
1441383,住院伙食补助费,640
1441383,营养费,1800
1441383,护理费,2400
1441383,误工费,12960
1441383,残疾赔偿金,34802
1441383,交通费,341
1441383,残疾辅助器具费,196
1441383,精神损害抚慰金,5000
1441383,营养费,1800
1441383,鉴定费,121939
1539835,律师费,470875.16
1570653,伤残补助金,30394
1570653,工伤医疗补助金,40521
1570653,一次性伤残就业补助金,62340
1570653,医疗费,25182.39
1570653,护理费,613.26
1570653,住院伙食补助费,360
1570653,鉴定费,200
1570653,交通费,2000
1570653,住宿费,500
1570653,医疗费,16000
1578992,医疗费,3029.54
1578992,医疗费,4327.91
1578992,误工费,5810.05
1578992,误工费,102.47
1578992,伤情鉴定费,140
1578992,伤情鉴定费,200
1578992,住院伙食补助费,84
1578992,住院伙食补助费,12
1578992,交通费,140
1578992,交通费,200
1578992,伤残鉴定费,1050
1578992,伤残鉴定费,1500
1578992,伤残赔偿金,45003
1578992,伤残赔偿金,32145
