documentid,property,value
1014150,逾期付款利息,191729.26
1014150,利息,6636910.96
1016447,案件受理费,54407
1017907,工程价款,347624
1017907,案件受理费,4208
1017907,司法审价费,44400
1018679,违约金,4129288.40
1018679,案件受理费,119200
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,医疗费,102804.55
1019967,住院伙食补助费,420
1019967,营养费,4800
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,住宿费,800
1019967,残疾赔偿金,350808
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1020864,股权转让金,49000000
1020864,利息,0.5
1020864,利息,6000000
1021331,案件受理费,81800
1021741,医疗费,11750.20
1021741,误工费,4045
1021741,营养费,900
1021741,护理费,210
1021741,交通费,300
1021741,营养费,900
1021741,律师费,3000
1021741,律师费,21105.20
1045058,伙食补助费,520
1045058,护理费,2362.70
1045058,停工留薪期工资,16921.56
1045058,伤残补助金,25382.34
1045058,工伤医疗补助金,22722
1045058,一次性伤残就业补助金,37870
1045058,鉴定费,280
1054151,货款,26913.59
1054151,货款,26913.59
1054151,货款,26913.59
1054151,案件受理费,5210
1055541,医疗费,739.10
1055541,误工费,8826.94
1055541,护理费,900
1055541,营养费,500
1055541,交通费,300
1055541,车辆损失,1200
1055541,衣物损失费,400
1058527,鉴定费,1600
1058527,医疗费,1181.82
1058527,案件受理费,470
1058527,医疗费,9371.72
1058527,住院伙食补助费,510
1058527,护理费,2822.5
1058527,交通费,500
1058527,误工费,12278
1058527,医疗费,9371.72
1058527,住院伙食补助费,510
1058527,护理费,2822.5
1058527,误工费,12278
1058563,案件受理费,300
1070597,误工费,2000
1070597,精神损害抚慰金,50000
1070597,律师费,8000
1070597,误工费,2000
1070597,精神损害抚慰金,50000
1070597,律师费,8000
1070597,案件受理费,22802
1114108,医疗费,10000
1114108,误工费,10584
1114108,护理费,17288
1114108,交通费,200
1114108,医疗费,33757.2
1114108,住院伙食补助费,432
1114108,鉴定费,2250
1121171,护理费,3469.25
1121171,交通费,252.10
1121171,伙食补助费,1140
1122979,医疗费,10000
1122979,精神损害抚慰金,50000
1122979,残疾赔偿金,60000
1122979,医疗费,20531.19
1122979,住院伙食补助费,105
1122979,残疾赔偿金,47265
1122979,误工费,11190
1122979,护理费,3480
1122979,交通费,9199.05
1122979,住宿费,6959
1122979,鉴定费,1250
1122979,医疗费,20531.19
1122979,住院伙食补助费,105
1122979,残疾赔偿金,47265
1122979,误工费,11190
1122979,护理费,3480
1122979,交通费,9199.05
1122979,住宿费,6959
1122979,鉴定费,1250
1126064,违约金,296000
1127684,货款,629600
1128090,货款,123620
1128090,货款,123620
1128090,律师费,14000
1138366,电费,14.89
1138366,电费,221.74
1138366,律师费,1220
1138378,电费,0.9
1138378,电费,220.51
1138378,律师费,1194
1142942,营养费,10000
1142942,交通费,95694
1142942,拖车费,1550
1142942,营养费,19444.34
1142942,营养费,10000
1142942,鉴定费,2250
1142960,营养费,10000
1142960,交通费,110000
1142960,交通费,33932.28
1142960,鉴定费,1975
1143306,医疗费,195744.74
1143306,住院伙食补助费,4260
1143306,残疾赔偿金,801419.40
1143306,护理费,362284
1143306,营养费,7200
1143306,误工费,14560
1143306,精神损害抚慰金,45000
1143306,鉴定费,2300
1143887,租金,308997
1143887,违约金,8465
1143893,租金,501000
1143893,违约金,86199
1143905,租金,2340000
1143905,违约金,802981
1148850,借款,279100
1149193,鉴定费,73914.28
1149892,罚息,230421.86
1149892,律师费,16755
1149910,精神损害抚慰金,83338.27
1149916,案件受理费,5715.20
1149934,衣物损失费,80390.46
1149964,误工费,110000
1149964,住院伙食补助费,10000
1149964,衣物损失费,200
1149964,误工费,1153.14
1149964,住院伙食补助费,25986.44
1149964,鉴定费,1200
1150076,律师费,464585.36
1150076,律师费,185834.14
1150081,案件受理费,2364
1150091,补偿款,2000000
1150091,违约金,100000
1150091,利息,5000
1150091,案件受理费,24400
1150106,精神损害抚慰金,1000
1150106,律师费,23242.94
1151766,货款,35990
1151789,医疗费,10000
1151789,精神损害抚慰金,110000
1151789,衣物损失费,570
1151789,医疗费,10000
1151789,交通费,45647.46
1151789,律师费,5900
1151801,违约金,4500000
1151801,电费,22772.06
1151801,利息,58000
1151801,案件受理费,83754.11
1151824,租金,44000
1151824,房屋使用费,4033
1153999,精神损害抚慰金,10000
1153999,残疾辅助器具费,100000
1153999,精神损害抚慰金,10000
1153999,律师费,76639.27
1154562,货款,175759.94
1155483,精神损害抚慰金,74519.60
1155483,营养费,9180.60
1155483,衣物损失,1200
1155483,律师费,3624
1155641,医疗费,88926.6
1155641,护理费,8551.23
1155641,住院伙食补助费,2295
1155641,误工费,87574.5
1155641,护理费,193162.5
1155641,交通费,750
1155641,残疾辅助器具费,3000
1155641,鉴定费用,7620
1155641,精神损害抚慰金,37500
1156268,误工费,7980
1156268,营养费,10000
1156268,营养费,4372.10
1156268,鉴定费,900
1156268,律师费,1500
1156986,案件受理费,12972
1157014,借款,190000
1157199,利息,29816.2
1157217,货款,65021.26
1157235,货款,780000
1157235,违约金,198440
1157349,伤残补助金,22825.8
1157349,工伤医疗补助金,25362
1157349,一次性伤残就业补助金,42270
1157349,停工留薪期工资,4500
1157349,护理费,1489.4
1157349,住院伙食补助费,300
1157349,鉴定费,280
1157444,违约金,3110.28
1157462,违约金,2256.60
1159055,违约金,123333.6
1162117,各项损失,92494.6
1162395,垫付款,800
1167090,医疗费,832
1167090,误工费,9421
1167090,鉴定费,1400
1171337,医疗费用,10000
1171361,医疗费用,10000
1171361,医疗费用,10000
1172942,医疗费用,10000
1172948,医疗费用,1176.71
1173050,借款,255393.51
1173050,利息,97036.99
1173500,医疗费用,5000
1173710,医疗费,10000
1173710,护理费,2539
1173710,交通费,500
1173710,医疗费,10000
1173710,医疗费,13546
1174393,借款,84856.18
1174393,利息,8024.10
1174393,罚息,312.10
1174703,医疗费,10000
1174703,护理费,2539
1174703,交通费,500
1174703,医疗费,10000
1174703,医疗费,13546
1176468,借款,220897.29
1176468,利息,10208.51
1176468,罚息,144.42
1176474,借款,116817.30
1176474,利息,4550.37
1176474,罚息,24242.94
1176474,复利,1024.34
1176480,借款,170993.65
1176480,利息,4907.16
1176480,罚息,33186.47
1176480,复利,1016.93
1177288,借款,50557.91
1177288,利息,1653.38
1177300,借款,126176.38
1177300,利息,4508.01
